title,movie_id,popularity,vote_count,vote_average,release_date
Moonlight,376867,4.3584,7350,7.365,2016-10-21
It Comes at Night,418078,1.6351,2548,5.863,2017-06-09
Eighth Grade,489925,1.9669,1609,7.154,2018-01-19
mid90s,437586,2.3219,1725,7.485,2018-10-19
Uncut Gems,473033,5.3428,5142,7.154,2019-08-30
The Lighthouse,503919,4.4287,5329,7.5,2019-10-18
Waves,533444,3.0747,778,7.356,2019-11-15
The Green Knight,559907,7.5753,2088,6.6,2021-07-29
C'mon C'mon,632617,1.1516,741,7.2,2021-11-19
The Tragedy of Macbeth,591538,1.7174,841,6.929,2021-12-05
X,760104,9.8431,3759,6.731,2022-03-17
Men,780609,4.4632,1271,6.089,2022-05-20
Bodies Bodies Bodies,520023,2.7656,1364,6.172,2022-08-05
Pearl,949423,5.5743,2411,7.244,2022-09-16
Causeway,595586,4.0097,526,6.449,2022-10-28
White Noise,744594,6.9518,768,5.561,2022-11-25
The Whale,785084,5.4792,4398,7.784,2022-12-09
Sharper,717980,8.6714,638,6.871,2023-02-10
Beau Is Afraid,798286,3.1556,1241,6.716,2023-04-14
Past Lives,666277,6.6598,2122,7.7,2023-06-02
Dream Scenario,823482,3.0319,1190,6.7,2023-11-10
The Zone of Interest,467244,5.2188,2390,7.003,2023-12-15
The Iron Claw,850165,2.8628,1124,7.526,2023-12-21
Love Lies Bleeding,948549,7.3714,876,6.583,2024-03-07
Civil War,929590,9.6204,3991,6.851,2024-04-10
I Saw the TV Glow,858017,2.9622,592,6.057,2024-05-03
MaXXXine,1023922,5.552,1321,6.319,2024-07-04
Heretic,1138194,11.6746,2341,7.0,2024-10-31
Babygirl,1097549,12.6665,1040,5.716,2024-12-25
Death of a Unicorn,1153714,7.2836,656,6.429,2025-03-27
Warfare,1241436,12.8204,1187,7.101,2025-04-09
Bring Her Back,1151031,15.5185,1258,7.402,2025-05-28
Materialists,1136867,9.839,923,6.468,2025-06-12
Eddington,648878,13.5975,542,6.472,2025-07-16
